package,type,source
APAlyzer,Software,deprecated
BPRMeth,Software,deprecated
BiRewire,Software,deprecated
BubbleTree,Software,deprecated
CelliD,Software,deprecated
CSAR,Software,deprecated
CuratedAtlasQueryR,Software,deprecated
DeconRNASeq,Software,deprecated
Fletcher2013b,ExperimentData,deprecated
GEOexplorer,Software,deprecated
GNET2,Software,deprecated
IMAS,Software,deprecated
IONiseR,Software,deprecated
InterCellar,Software,deprecated
MSPrep,Software,deprecated
Melissa,Software,deprecated
MetaNeighbor,Software,deprecated
MethReg,Software,deprecated
MineICA,Software,deprecated
Organism.dplyr,Software,deprecated
RTCGA,Software,deprecated
RcisTarget,Software,deprecated
RgnTX,Software,deprecated
RiboProfiling,Software,deprecated
SGCP,Software,deprecated
SQLDataFrame,Software,deprecated
SigFuge,Software,deprecated
ballgown,Software,deprecated
bamsignals,Software,deprecated
barcodetrackR,Software,deprecated
basecallQC,Software,deprecated
biobroom,Software,deprecated
biodbChebi,Software,deprecated
ccrepe,Software,deprecated
cummeRbund,Software,deprecated
curatedBreastData,ExperimentData,deprecated
debCAM,Software,deprecated
geneXtendeR,Software,deprecated
granulator,Software,deprecated
hca,Software,deprecated
hmdbQuery,Software,deprecated
hpAnnot,AnnotationData,deprecated
mfa,Software,deprecated
microSTASIS,Software,deprecated
motifcounter,Software,deprecated
nearBynding,Software,deprecated
netZooR,Software,deprecated
netprioR,Software,deprecated
normr,Software,deprecated
partCNV,Software,deprecated
pathRender,Software,deprecated
rRDPData,ExperimentData,deprecated
receptLoss,Software,deprecated
rols,Software,deprecated
scviR,Software,deprecated
shiny.gosling,Software,deprecated
soGGi,Software,deprecated
spatzie,Software,deprecated
supersigs,Software,deprecated
tLOH,Software,deprecated
tidytof,Software,deprecated
BiocStyle,Software,voluntarily-listed
VariantAnnotation,Software,voluntarily-listed
